Date,Open,High,Low,Close,Adj Close,Volume
2024-12-17,232.39,232.73,227.85,231.15,231.15,35948129
2024-12-18,230.77,231.3999,220.11,220.52,220.52,43281441
2024-12-19,224.91,226.09,222.92,223.29,223.29,39918738
2024-12-20,219.84,226.21,218.73,224.92,224.92,88279188
2024-12-23,225.01,226.88,223.9,225.06,225.06,28070010
2024-12-24,226.94,229.14,226.13,229.05,229.05,15007500
2024-12-26,228.5,228.5,226.6706,227.05,227.05,16174500
2024-12-27,225.6,226.03,220.9,223.75,223.75,27367150
2024-12-30,220.06,222.9972,218.43,221.3,221.3,28321240
2024-12-31,222.965,223.2299,218.94,219.39,219.39,24819660
2025-01-02,222.03,225.15,218.19,220.22,220.22,33956578
2025-01-03,222.505,225.36,221.62,224.19,224.19,27515609
2025-01-06,226.78,228.835,224.84,227.61,227.61,31849830
2025-01-07,227.9,228.381,221.46,222.11,222.11,28084160
2025-01-08,223.185,223.52,220.2,222.13,222.13,25033289
2025-01-10,221.46,221.71,216.5,218.94,218.94,36811527
2025-01-13,218.06,219.4,216.47,218.46,218.46,27262660
2025-01-14,220.44,221.82,216.2,217.76,217.76,24711650
2025-01-15,222.83,223.57,220.75,223.35,223.35,31291260
2025-01-16,224.42,224.65,220.31,220.66,220.66,24757279
2025-01-17,225.84,226.51,223.08,225.94,225.94,42370121
2025-01-21,228.9,231.78,226.94,230.71,230.71,39951461
2025-01-22,232.02,235.44,231.19,235.01,235.01,41448219
2025-01-23,234.1,235.52,231.51,235.42,235.42,26404359
2025-01-24,234.5,236.4,232.93,234.85,234.85,25890740
2025-01-27,226.21,235.61,225.86,235.42,235.42,49428328
2025-01-28,234.29,241.77,233.98,238.15,238.15,41587191
2025-01-29,239.015,240.39,236.15,237.07,237.07,26091721
2025-01-30,237.14,237.95,232.22,234.64,234.64,32020730
2025-01-31,236.5,240.29,236.41,237.68,237.68,36162379
2025-02-03,234.06,239.25,232.9,237.42,237.42,37285871
2025-02-04,239.01,242.52,238.03,242.06,242.06,29713811
2025-02-05,237.02,238.32,235.2,236.17,236.17,38832039
2025-02-06,238.01,239.6599,236.01,238.83,238.83,60897102
2025-02-07,232.5,234.81,228.06,229.15,229.15,77539281
2025-02-10,230.545,233.92,229.2,233.14,233.14,35419930
2025-02-11,231.92,233.44,230.13,232.76,232.76,23713730
2025-02-12,230.46,231.18,228.16,228.93,228.93,32285250
2025-02-13,228.85,230.42,227.52,230.37,230.37,31346510
2025-02-14,229.2,229.89,227.23,228.68,228.68,27031080
2025-02-18,228.82,229.3,223.72,226.65,226.65,42975129
2025-02-19,225.52,226.83,223.71,226.63,226.63,28566711
2025-02-20,224.775,225.13,221.81,222.88,222.88,30001670
2025-02-21,223.28,223.31,214.74,216.58,216.58,55323848
2025-02-24,217.45,217.715,212.42,212.71,212.71,42387594
2025-02-25,211.63,213.34,204.16,212.8,212.8,58957980
2025-02-26,214.94,218.16,213.09,214.35,214.35,39120602
2025-02-27,218.35,219.97,208.37,208.74,208.74,40548566
2025-02-28,208.65,212.62,206.99,212.28,212.28,51771738
2025-03-03,213.352,214.01,202.55,205.02,205.02,42948449
2025-03-04,200.11,206.8,197.432,203.8,203.8,60853078
2025-03-05,204.8,209.98,203.26,208.36,208.36,38610090
2025-03-06,204.4,205.77,198.3015,200.7,200.7,49863762
2025-03-07,199.49,202.2653,192.53,199.25,199.25,59802820
2025-03-10,195.6,196.73,190.85,194.54,194.54,62350930
2025-03-11,193.9,200.18,193.4,196.59,196.59,54002879
2025-03-12,200.72,201.52,195.29,198.89,198.89,43679281
2025-03-13,198.165,198.8799,191.82,193.89,193.89,41270762
2025-03-14,197.41,198.65,195.32,197.95,197.95,38096660
2025-03-17,198.77,199.0,194.3247,195.74,195.74,47341754
2025-03-18,192.52,194.0,189.38,192.82,192.82,40414871
2025-03-19,193.38,195.965,191.96,195.54,195.54,39442879
2025-03-20,193.07,199.32,192.3,194.95,194.95,38921113
2025-03-21,192.9,196.99,192.52,196.21,196.21,60056922
2025-03-24,200.0,203.64,199.95,203.26,203.26,41625367
2025-03-25,203.595,206.21,203.22,205.71,205.71,31171160
2025-03-26,205.835,206.01,199.925,201.13,201.13,32990969
2025-03-27,200.89,203.79,199.2821,201.36,201.36,27317660
2025-03-28,198.42,199.26,191.881,192.72,192.72,52548230
2025-03-31,188.19,191.33,184.4,190.26,190.26,63547559
2025-04-01,187.86,193.93,187.2,192.17,192.17,41267320
2025-04-02,187.66,198.34,187.66,196.01,196.01,53679199
2025-04-03,182.995,184.13,176.92,178.41,178.41,95553617
2025-04-04,167.145,178.1436,166.0,171.0,171.0,123159398
2025-04-07,162.0,183.4099,161.38,175.26,175.26,109327102
2025-04-08,185.23,185.9,168.57,170.66,170.66,87710359
2025-04-09,172.115,192.65,169.93,191.1,191.1,116804305
2025-04-10,185.44,186.8692,175.8518,181.22,181.22,68302047
2025-04-11,179.93,185.86,178.0,184.87,184.87,50594340
2025-04-14,186.84,187.44,179.23,182.12,182.12,48002539
2025-04-15,181.41,182.35,177.9331,179.59,179.59,43641953
2025-04-16,176.29,179.1046,171.41,174.33,174.33,51875320
2025-04-17,176.0,176.21,172.0,172.61,172.61,44726449
2025-04-21,169.6,169.6,165.285,167.32,167.32,48126113
2025-04-22,169.845,176.78,169.35,173.18,173.18,56607199
2025-04-23,183.45,187.38,180.19,180.6,180.6,63470152
2025-04-24,180.915,186.74,180.18,186.54,186.54,43763199
2025-04-25,187.62,189.94,185.49,188.99,188.99,36414328
2025-04-28,190.105,190.22,184.885,187.7,187.7,33224730
2025-04-29,183.99,188.0158,183.68,187.39,187.39,41667262
2025-04-30,182.17,185.05,178.85,184.42,184.42,55176539
2025-05-01,190.63,191.8071,187.5,190.2,190.2,74265961
2025-05-02,191.435,192.88,186.4,189.98,189.98,77903484
2025-05-05,186.51,188.18,185.53,186.35,186.35,35217473
2025-05-06,184.57,187.93,183.85,185.01,185.01,29314061
