Date,Open,High,Low,Close,Adj Close,Volume
2024-12-17,197.25,201.42,194.98,195.42,194.6576,43504031
2024-12-18,195.22,197.0,187.74,188.4,187.665,34166070
2024-12-19,191.625,193.03,188.38,188.51,187.7746,32265240
2024-12-20,185.78,192.89,185.22,191.41,190.6633,63462930
2024-12-23,192.62,195.1,190.15,194.63,193.8707,25675010
2024-12-24,194.84,196.11,193.78,196.11,195.345,10403260
2024-12-26,195.15,196.748,194.375,195.6,194.8369,12057210
2024-12-27,194.95,195.32,190.65,192.76,192.008,18891359
2024-12-30,189.8,192.55,189.12,191.24,190.4939,14264660
2024-12-31,191.075,191.96,188.51,189.3,188.5615,17466920
2025-01-02,190.65,192.0,187.5,189.43,188.691,20370830
2025-01-03,191.37,193.21,189.975,191.79,191.0418,18596160
2025-01-06,193.98,198.2222,193.85,196.87,196.102,29563641
2025-01-07,197.11,201.0,194.6,195.49,194.7274,26487240
2025-01-08,192.57,196.29,192.38,193.95,193.1934,24864770
2025-01-10,194.295,196.52,190.31,192.04,191.2908,26665211
2025-01-13,190.07,191.18,187.36,191.01,190.2648,21823699
2025-01-14,191.24,191.98,188.3082,189.66,188.9201,17174850
2025-01-15,193.09,196.36,191.86,195.55,194.7871,21775971
2025-01-16,194.14,195.48,192.81,192.91,192.1574,17815430
2025-01-17,196.53,197.23,193.75,196.0,195.2354,27735090
2025-01-21,199.07,202.29,197.87,198.05,197.2774,29971289
2025-01-22,199.06,200.48,197.53,198.37,197.5961,26200619
2025-01-23,198.14,200.3,195.2,197.98,197.2077,26951359
2025-01-24,198.1,200.9,198.0,200.21,199.429,23877520
2025-01-27,192.41,196.88,190.73,191.81,191.0617,41728887
2025-01-28,192.745,195.48,190.68,195.3,194.5381,24157930
2025-01-29,195.555,196.785,193.43,195.41,194.6477,18218260
2025-01-30,198.0,201.4,197.67,200.87,200.0864,24354680
2025-01-31,202.0,205.48,201.8,204.02,203.2241,32041949
2025-02-03,200.69,203.75,200.1,201.23,200.445,27838350
2025-02-04,203.39,207.05,202.81,206.38,205.5749,43856434
2025-02-05,191.07,192.75,188.03,191.33,190.5836,70461766
2025-02-06,189.5,192.1,188.72,191.6,190.8525,29297439
2025-02-07,191.05,191.18,183.24,185.34,184.617,49314961
2025-02-10,187.35,188.2,185.86,186.47,185.7426,23105650
2025-02-11,185.03,186.94,184.28,185.32,184.597,21239520
2025-02-12,183.22,185.11,181.83,183.61,182.8937,22072561
2025-02-13,184.32,186.28,183.14,186.14,185.4138,21402520
2025-02-14,185.055,186.4,184.32,185.23,184.5074,20448439
2025-02-18,185.6,185.96,181.7401,183.77,183.0531,29916680
2025-02-19,184.07,185.46,183.59,185.27,184.5472,19549400
2025-02-20,184.8,185.31,182.72,184.56,183.84,20441461
2025-02-21,185.15,185.34,179.08,179.66,178.9591,35199238
2025-02-24,181.99,183.12,178.885,179.25,178.5507,29854211
2025-02-25,178.04,178.74,174.6939,175.42,174.7357,41913406
2025-02-26,175.07,176.08,171.5807,172.73,172.0562,35431273
2025-02-27,173.99,174.56,167.94,168.5,167.8427,39991020
2025-02-28,168.68,170.61,166.77,170.28,169.6157,48130566
2025-03-03,171.925,173.37,165.93,167.01,166.3585,40770449
2025-03-04,166.24,173.2946,165.8,170.92,170.2532,45388000
2025-03-05,170.52,173.78,169.06,173.02,172.345,30954920
2025-03-06,170.53,174.81,170.5,172.35,171.6776,28301949
2025-03-07,171.26,174.97,170.27,173.86,173.1818,27385811
2025-03-10,168.26,168.46,163.69,165.87,165.4132,43604031
2025-03-11,164.91,166.75,161.37,164.04,163.5882,39587406
2025-03-12,166.58,167.6399,163.53,167.11,166.6498,28372400
2025-03-13,166.035,166.13,162.11,162.76,162.3118,31756211
2025-03-14,163.27,166.49,162.45,165.49,165.0343,31995891
2025-03-17,165.03,166.3,163.67,164.29,163.8376,31184340
2025-03-18,163.675,164.25,156.72,160.67,160.2275,42074754
2025-03-19,161.76,165.87,161.0,163.89,163.4387,34275578
2025-03-20,161.57,164.89,160.96,162.8,162.3517,28138461
2025-03-21,161.205,164.24,160.8901,163.99,163.5384,36625762
2025-03-24,167.065,168.32,165.14,167.68,167.2182,30879131
2025-03-25,168.98,170.63,168.315,170.56,170.0903,24174369
2025-03-26,169.0,169.61,164.84,165.06,164.6054,28939330
2025-03-27,164.63,165.42,162.0,162.24,161.7932,24508270
2025-03-28,160.49,161.82,153.63,154.33,153.905,48669340
