Date,Open,High,Low,Close,Adj Close,Volume
2024-12-17,451.01,455.29,449.57,454.46,451.1321,22733490
2024-12-18,451.32,452.65,437.02,437.39,434.1871,24444551
2024-12-19,441.62,443.1834,436.32,437.03,433.8297,22963680
2024-12-20,433.11,443.74,428.63,436.6,433.4029,64263688
2024-12-23,436.74,437.65,432.83,435.25,432.0628,19152520
2024-12-24,434.65,439.6,434.19,439.33,436.1129,7164543
2024-12-26,439.08,440.94,436.63,438.11,434.9018,8199927
2024-12-27,434.6,435.22,426.35,430.53,427.3773,18117711
2024-12-30,426.06,427.55,421.9,424.83,421.7191,13158700
2024-12-31,426.1,426.73,420.66,421.5,418.4135,13246510
2025-01-02,425.53,426.07,414.85,418.58,415.5148,16896471
2025-01-03,421.08,424.03,419.54,423.35,420.2499,16662939
2025-01-06,428.0,434.32,425.4774,427.85,424.717,20573650
2025-01-07,429.0,430.65,420.8,422.37,419.2771,18139070
2025-01-08,423.46,426.97,421.54,424.56,421.451,15054580
2025-01-10,424.63,424.71,415.02,418.95,415.8821,20201131
2025-01-13,415.235,418.5,412.29,417.19,414.135,17604779
2025-01-14,417.81,419.74,410.72,415.67,412.6261,16935859
2025-01-15,419.13,428.15,418.265,426.31,423.1882,19637840
2025-01-16,428.695,429.49,424.39,424.58,421.4709,15300020
2025-01-17,434.085,434.48,428.17,429.03,425.8883,26197510
2025-01-21,430.2,430.8999,425.595,428.5,425.3622,26085699
2025-01-22,437.56,447.27,436.0,446.2,442.9326,27803811
2025-01-23,442.0,446.75,441.5048,446.71,443.4388,18389270
2025-01-24,445.16,446.65,441.4,444.06,440.8083,15549450
2025-01-27,424.01,435.2,423.5,434.56,431.3778,35647809
2025-01-28,434.6,448.38,431.38,447.2,443.9253,23491699
2025-01-29,446.69,446.88,440.4,442.33,439.0909,23581369
2025-01-30,418.77,422.86,413.16,414.99,411.9511,54586262
2025-01-31,418.98,420.69,414.91,415.06,412.0206,34223391
2025-02-03,411.6,415.41,408.66,410.92,407.9109,25679150
2025-02-04,412.685,413.9199,409.74,412.37,409.3503,20532100
2025-02-05,412.35,413.827,410.4,413.29,410.2636,16336190
2025-02-06,414.0,418.2,414.0,415.82,412.775,16309760
2025-02-07,416.48,418.65,408.1,409.75,406.7495,22886840
2025-02-10,413.71,415.4624,410.92,412.22,409.2014,20817920
2025-02-11,409.64,412.49,409.3,411.44,408.4271,18140590
2025-02-12,407.21,410.75,404.3673,409.04,406.0447,19121730
2025-02-13,407.0,411.0,406.36,410.54,407.5337,23891730
2025-02-14,407.79,408.91,405.88,408.43,405.4392,22758461
2025-02-18,408.0,410.597,406.5,409.64,406.6403,21423051
2025-02-19,407.88,415.49,407.65,414.77,411.7327,24114199
2025-02-20,415.29,419.31,412.54,416.13,413.9111,23508730
2025-02-21,417.335,418.048,407.89,408.21,406.0333,27524801
2025-02-24,408.51,409.37,399.32,404.0,401.8457,26443660
2025-02-25,401.1,401.915,396.7,397.9,395.7783,29387400
2025-02-26,398.01,403.6,394.245,399.73,397.5985,19618949
2025-02-27,401.265,405.74,392.17,392.53,390.4369,21127410
2025-02-28,392.655,397.63,386.57,396.99,394.8731,32845660
2025-03-03,398.82,398.82,386.155,388.49,386.4184,23007730
2025-03-04,383.4,392.58,381.0,388.61,386.5378,29342920
2025-03-05,389.34,401.67,388.81,401.02,398.8816,23433131
2025-03-06,394.28,402.15,392.6777,396.89,394.7737,23304631
2025-03-07,392.32,394.8,385.54,393.31,391.2127,22034090
2025-03-10,385.84,386.4,377.22,380.16,378.1329,32840129
2025-03-11,379.0,386.0,376.91,380.45,378.4213,30380180
2025-03-12,382.95,385.2165,378.9507,383.27,381.2263,24253570
2025-03-13,383.155,385.32,377.45,378.77,376.7503,20473020
2025-03-14,379.775,390.23,379.51,388.56,386.4881,19952850
2025-03-17,386.7,392.705,385.57,388.7,386.6273,22474270
2025-03-18,387.07,387.37,381.1,383.52,381.4749,19486850
2025-03-19,385.525,389.68,384.0,387.82,385.752,19185529
