Date,Open,High,Low,Close,Adj Close,Volume
2024-12-17,129.09,131.59,126.86,130.39,130.3543,259410297
2024-12-18,133.86,136.7,128.28,128.91,128.8747,277444500
2024-12-19,131.76,134.03,129.55,130.68,130.6443,209719203
2024-12-20,129.81,135.28,128.22,134.7,134.6632,306528594
2024-12-23,136.28,139.79,135.1201,139.67,139.6318,176053500
2024-12-24,140.0,141.9,138.65,140.22,140.1817,105157000
2024-12-26,139.7,140.85,137.73,139.93,139.8917,116519102
2024-12-27,138.55,139.02,134.71,137.01,136.9725,170582594
2024-12-30,134.83,140.27,134.02,137.49,137.4524,167734703
2024-12-31,138.03,138.07,133.83,134.29,134.2533,155659203
2025-01-02,136.0,138.88,134.63,138.31,138.2722,198247203
2025-01-03,140.01,144.9,139.73,144.47,144.4305,229322500
2025-01-06,148.59,152.156,147.8201,149.43,149.3891,265377406
2025-01-07,153.03,153.13,140.01,140.14,140.1017,351782219
2025-01-08,142.58,143.95,137.56,140.11,140.0717,227349906
2025-01-10,137.45,139.92,134.22,135.91,135.8728,207602500
2025-01-13,129.99,133.49,129.51,133.23,133.1936,204808891
2025-01-14,136.05,136.38,130.05,131.76,131.724,195590500
2025-01-15,133.65,136.45,131.29,136.24,136.2027,185217297
2025-01-16,138.64,138.75,133.49,133.57,133.5335,209235594
2025-01-17,136.69,138.5,135.4649,137.71,137.6723,201188797
2025-01-21,139.16,141.83,137.09,140.83,140.7915,197748984
2025-01-22,144.66,147.79,143.67,147.07,147.0298,237651391
2025-01-23,145.05,147.23,143.72,147.22,147.1797,155915500
2025-01-24,148.37,148.97,141.88,142.62,142.581,234657594
2025-01-27,124.8,128.4,116.7,118.42,118.3876,818830938
2025-01-28,121.81,129.0,116.25,128.99,128.9547,579666438
2025-01-29,126.5,126.89,120.05,123.7,123.6662,467120594
2025-01-30,123.1,125.0,118.1,124.65,124.6159,392925500
2025-01-31,123.78,127.85,119.19,120.07,120.0372,390372906
2025-02-03,114.75,118.57,113.01,116.66,116.6281,371235719
2025-02-04,116.96,121.2,116.7,118.65,118.6176,256550000
2025-02-05,121.76,125.0,120.76,124.83,124.7959,263110594
2025-02-06,127.42,128.77,125.21,128.68,128.6448,251483594
2025-02-07,129.22,130.37,125.0,129.84,129.8045,228186297
2025-02-10,130.09,135.0,129.96,133.57,133.5335,216989109
2025-02-11,132.58,134.48,131.02,132.8,132.7637,178902406
2025-02-12,130.02,132.24,129.08,131.14,131.1041,160278594
2025-02-13,131.555,136.5,131.17,135.29,135.253,197430000
2025-02-14,136.48,139.25,135.5,138.85,138.812,195479594
2025-02-18,141.27,143.44,137.925,139.4,139.3619,219176609
2025-02-19,139.51,141.36,137.22,139.23,139.1919,167536000
2025-02-20,140.03,140.66,136.7901,140.11,140.0717,143903594
2025-02-21,140.04,141.46,134.03,134.43,134.3932,228217594
2025-02-24,136.56,138.59,130.08,130.28,130.2444,251381109
2025-02-25,129.98,130.2,124.44,126.63,126.5954,271428719
2025-02-26,129.985,133.73,128.49,131.28,131.2441,322553781
2025-02-27,135.0,135.01,120.01,120.15,120.1171,443175812
2025-02-28,118.02,125.09,116.4,124.92,124.8858,389091094
2025-03-03,123.51,123.7,112.28,114.06,114.0288,411381406
2025-03-04,110.645,119.31,110.11,115.99,115.9583,398163281
2025-03-05,117.58,118.2781,114.51,117.3,117.2679,284337875
2025-03-06,113.53,115.35,110.22,110.57,110.5398,321181875
2025-03-07,111.25,113.48,107.56,112.69,112.6592,341755500
2025-03-10,109.9,111.85,105.46,106.98,106.9507,366487406
2025-03-11,106.99,112.236,104.77,108.76,108.7303,354865688
2025-03-12,114.12,116.76,112.88,115.74,115.719,323857500
2025-03-13,117.03,117.76,113.79,115.58,115.559,299033094
2025-03-14,118.61,121.88,118.15,121.67,121.6479,277593500
2025-03-17,122.74,122.89,118.03,119.53,119.5083,255501500
2025-03-18,118.0,119.02,114.54,115.43,115.409,299686906
2025-03-19,117.27,120.445,115.68,117.52,117.4987,273426219
2025-03-20,116.55,120.2,116.47,118.53,118.5085,248829703
2025-03-21,116.94,117.99,115.42,117.7,117.6786,266498500
2025-03-24,119.88,122.22,119.34,121.41,121.388,228452500
2025-03-25,120.545,121.29,118.92,120.69,120.6681,167447203
2025-03-26,118.73,118.84,112.71,113.76,113.7393,296431719
2025-03-27,111.35,114.45,110.66,111.43,111.4098,236902094
2025-03-28,111.485,112.87,109.0701,109.67,109.6501,229872500
2025-03-31,105.13,110.955,103.65,108.38,108.3603,299212719
2025-04-01,108.515,110.2,106.47,110.15,110.13,222614000
2025-04-02,107.29,111.98,106.79,110.42,110.4,220601203
2025-04-03,103.51,105.63,101.6,101.8,101.7815,338769406
2025-04-04,98.91,100.13,92.11,94.31,94.2929,532273812
2025-04-07,87.46,101.75,86.62,97.64,97.6223,611041250
2025-04-08,103.805,105.85,94.46,96.3,96.2825,476243406
2025-04-09,98.89,115.1,97.5301,114.33,114.3092,612918250
2025-04-10,109.37,110.86,99.15,107.57,107.5505,437812406
2025-04-11,108.5,111.5499,107.48,110.93,110.9099,313417312
2025-04-14,114.11,114.29,109.07,110.71,110.6899,264705000
2025-04-15,110.97,113.615,110.5,112.2,112.1796,228966891
2025-04-16,104.55,106.79,100.45,104.49,104.471,397016906
2025-04-17,104.45,104.47,100.05,101.49,101.4716,292517500
2025-04-21,98.77,99.44,95.04,96.91,96.8924,288501094
2025-04-22,98.78,99.811,97.28,98.89,98.872,241004797
2025-04-23,104.52,104.8,102.02,102.71,102.6914,247526000
2025-04-24,103.475,106.54,103.11,106.43,106.4107,220815016
2025-04-25,106.85,111.92,105.73,111.01,110.9898,251064703
2025-04-28,109.69,110.3699,106.02,108.73,108.7103,207708500
2025-04-29,107.67,110.1999,107.44,109.02,109.0002,170444297
2025-04-30,104.47,108.92,104.08,108.92,108.9002,235044609
2025-05-01,113.08,114.94,111.3,111.61,111.5897,236121500
2025-05-02,114.18,115.4,113.37,114.5,114.4792,190194797
2025-05-05,112.905,114.665,112.66,113.82,113.7993,133163203
2025-05-06,111.48,114.74,110.822,113.54,113.5194,158525594
2025-05-07,113.045,117.68,112.2818,117.06,117.0388,207827812
2025-05-08,118.25,118.68,115.85,117.37,117.3487,198428094
2025-05-09,117.35,118.23,115.21,116.65,116.6288,132972203
2025-05-12,121.97,123.0,120.28,123.0,122.9777,225023297
2025-05-13,124.98,131.2189,124.47,129.93,129.9064,330430125
2025-05-14,133.195,135.435,131.68,135.34,135.3154,281180812
2025-05-15,134.295,136.3,132.66,134.83,134.8055,226632609
2025-05-16,136.22,136.35,133.46,135.4,135.3754,226542500
2025-05-19,132.39,135.87,132.39,135.57,135.5454,193154594
2025-05-20,134.29,134.58,132.62,134.38,134.3556,161514203
2025-05-21,133.06,137.4,130.59,131.8,131.7761,270608719
2025-05-22,132.23,134.25,131.55,132.83,132.8059,187344000
2025-05-23,130.0,132.68,129.16,131.29,131.2662,198821297
2025-05-27,134.15,135.66,133.31,135.5,135.4754,192953594
2025-05-28,136.025,137.25,134.79,134.81,134.7855,304021094
2025-05-29,142.245,143.49,137.91,139.19,139.1647,370615188
2025-05-30,138.715,139.62,132.92,135.13,135.1055,333170906
2025-06-02,135.49,138.12,135.4,137.38,137.3551,197663109
2025-06-03,138.78,142.0,137.95,141.22,141.1944,225578797
2025-06-04,142.19,142.39,139.545,141.92,141.8942,167120797
2025-06-05,142.17,144.0,138.83,139.99,139.9646,232410797
2025-06-06,142.51,143.27,141.51,141.72,141.6943,153986203
2025-06-09,143.19,145.0,141.94,142.63,142.6041,185114500
2025-06-10,142.69,144.29,141.525,143.96,143.9339,155881906
2025-06-11,144.61,144.99,141.87,142.83,142.814,167694000
2025-06-12,141.97,145.0,141.85,145.0,144.9837,162364984
2025-06-13,142.48,143.58,140.855,141.97,141.9541,180820609
2025-06-16,143.345,146.175,143.2001,144.69,144.6738,183133703
2025-06-17,144.49,145.22,143.78,144.12,144.1038,139108000
2025-06-18,144.005,145.65,143.12,145.48,145.4637,161494094
2025-06-20,145.45,146.2,142.65,143.85,143.8339,242956188
2025-06-23,142.5,144.78,142.03,144.17,144.1538,154308891
2025-06-24,145.56,147.96,145.5,147.9,147.8834,187566094
2025-06-25,149.27,154.45,149.26,154.31,154.2927,269146500
2025-06-26,155.975,156.715,154.0,155.02,155.0026,198145703
2025-06-27,156.04,158.71,155.255,157.75,157.7323,263234500
2025-06-30,158.4,158.66,155.96,157.99,157.9723,194580297
2025-07-01,156.29,157.2,151.49,153.3,153.2828,213143594
2025-07-02,152.98,157.6,152.97,157.25,157.2324,171224094
2025-07-03,158.37,160.98,157.77,159.34,159.3221,143716094
2025-07-07,158.2,159.31,157.342,158.24,158.2223,140139016
2025-07-08,159.33,160.22,158.39,160.0,159.9821,138132984
